Country,1990,1995,2000,2005,2010,2015,2020
Afghanistan,7.6796,4.347,4.7507,4.1167,5.2695,5.4009,5.8538
   Albania,0.1802,0.5011,0.8244,0.966,1.1179,1.1428,1.2505
   Algeria,0.9217,0.9796,1.038,1.5996,1.6553,1.8365,2.0223
   American Samoa,0.002,0.0026,0.0032,0.0026,0.0022,0.002,0.0018
   Andorra,0.0037,0.0041,0.0056,0.0057,0.0079,0.0087,0.0111
   Angola,0.8249,0.6886,0.9132,0.7168,0.6514,0.6183,0.6681
   Anguilla,0.0018,0.0022,0.0025,0.0024,0.0023,0.0026,0.0025
   Antigua and Barbuda,0.0214,0.027,0.0328,0.0364,0.0413,0.0522,0.0666
   Argentina,0.4302,0.482,0.5555,0.8053,0.9386,0.9438,1.0761
   Armenia,0.8997,0.9019,0.8771,0.9006,0.917,0.9445,0.9582
   Aruba,0.0059,0.0067,0.0077,0.0095,0.0135,0.0166,0.0215
   Australia,0.301,0.3413,0.3818,0.4288,0.4869,0.5182,0.5988
   Austria,0.5052,0.49,0.4781,0.4933,0.5174,0.5152,0.6007
   Azerbaijan,1.6342,1.7122,1.6306,1.4552,1.1609,1.1303,1.1639
   Bahamas,0.0251,0.0296,0.0343,0.0347,0.036,0.043,0.0538
   Bahrain,0.0128,0.026,0.0477,0.0518,0.0522,0.0567,0.0583
   Bangladesh,5.4504,5.4235,5.4411,5.4925,6.3199,6.8313,7.4018
   Barbados,0.0848,0.0896,0.095,0.093,0.0962,0.1019,0.0996
   Belarus,1.7676,1.7365,1.6856,1.5812,1.4647,1.4699,1.4836
   Belgium,0.364,0.3747,0.3989,0.4377,0.484,0.5158,0.5775
   Belize,0.0361,0.042,0.0482,0.0519,0.0574,0.0631,0.0528
   Benin,0.2343,0.2757,0.328,0.5042,0.5412,0.6349,0.6818
   Bermuda,0.0717,0.0426,0.0141,0.0149,0.0153,0.0162,0.0211
   Bhutan,0.0285,0.118,0.1202,0.1203,0.0919,0.0514,0.052
   Bolivia,0.2247,0.2835,0.3447,0.5438,0.78,0.824,0.9272
   Bosnia and Herzegovina,0.8618,1.3725,1.4967,1.501,1.5729,1.5934,1.6876
   Botswana,0.026,0.0233,0.0267,0.0333,0.0442,0.0553,0.0636
   Brazil,0.4914,0.7305,0.9405,1.1946,1.4954,1.5042,1.8971
   British Virgin Islands,0.0031,0.0034,0.0037,0.004,0.0049,0.0051,0.0054
   Brunei Darussalam,0.0263,0.0351,0.0452,0.0453,0.0445,0.0451,0.0453
   Bulgaria,0.613,0.6494,0.6887,0.9078,1.1065,1.1796,1.6831
   Burkina Faso,1.0213,1.2157,1.2794,1.3523,1.4345,1.5186,1.5993
   Burundi,0.3371,0.5406,0.7587,0.6199,0.2841,0.46,0.5511
   Cabo Verde,0.0914,0.107,0.1248,0.142,0.1529,0.1714,0.1876
   Cambodia,0.3554,0.4182,0.4596,0.6744,0.9531,1.0746,1.1048
   Cameroon,0.1158,0.1389,0.1643,0.2212,0.2789,0.349,0.441
   Canada,0.9943,1.0643,1.1426,1.1852,1.2681,1.2636,1.2923
   Cayman Islands,0.0004,0.0008,0.0013,0.0013,0.0014,0.0017,0.0019
   Central African Republic,0.0464,0.0492,0.0554,0.1314,0.2459,0.6862,0.8167
   Chad,0.3368,0.2231,0.2061,0.2107,0.2024,0.1913,0.2223
   Channel Islands,0.0187,0.0156,0.0128,0.0148,0.0157,0.0165,0.0172
   Chile,0.493,0.4992,0.512,0.5417,0.5718,0.618,0.6438
   China,4.2316,5.0303,5.8849,7.3372,8.7146,10.2408,10.4612
   Colombia,1.0091,1.216,1.4339,1.8839,2.554,2.6987,3.0243
   Comoros,0.0401,0.0513,0.0705,0.0961,0.1091,0.1217,0.1508
"Congo, Rep.",0.0964,0.1157,0.1352,0.1726,0.1781,0.2048,0.2238
   Cook Islands,0.0175,0.017,0.0195,0.0196,0.0206,0.0216,0.0211
   Costa Rica,0.0693,0.085,0.1052,0.1176,0.1323,0.1382,0.1502
   Cote d'Ivoire,0.3663,0.4495,0.5392,0.732,0.9398,1.0564,1.1493
   Croatia,0.4255,0.7352,0.907,0.8391,0.8204,0.8062,1.0395
   Cuba,0.8352,0.9342,1.0478,1.1603,1.3147,1.5058,1.7573
   Cyprus,0.1744,0.1633,0.1536,0.154,0.1635,0.1666,0.1732
Czech Republic,0.5647,0.6203,0.7233,0.7521,0.7794,0.8198,1.0261
"Congo, Dem. Rep.",0.4365,0.5598,0.862,1.1309,1.2985,1.5722,1.8321
   Denmark,0.2015,0.2077,0.2178,0.2245,0.2335,0.2368,0.257
   Djibouti,0.0053,0.007,0.0091,0.012,0.0138,0.017,0.0184
   Dominica,0.0406,0.0442,0.0483,0.064,0.0736,0.0726,0.0782
   Dominican Republic,0.458,0.667,0.8895,1.0141,1.1844,1.4546,1.6086
   Ecuador,0.214,0.3262,0.4464,0.9866,1.1529,1.1308,1.1279
   Egypt,1.3219,1.492,1.7083,1.8079,2.5866,3.1511,3.6105
   El Salvador,1.2418,0.9331,0.949,1.1188,1.3371,1.5129,1.5991
   Equatorial Guinea,0.0362,0.0464,0.0599,0.0718,0.0844,0.1169,0.1288
   Eritrea,0.1706,0.3753,0.5115,0.2993,0.3284,0.6248,0.8028
   Estonia,0.1139,0.1296,0.1418,0.1501,0.1536,0.1891,0.2066
   Eswatini,0.0352,0.0303,0.0341,0.0449,0.069,0.0462,0.05
   Ethiopia,1.6899,0.8164,0.4459,0.524,0.6803,0.8425,0.9461
   Fiji,0.0902,0.1065,0.1319,0.157,0.1836,0.2086,0.2339
   Finland,0.2506,0.2887,0.3159,0.3006,0.2919,0.2822,0.3119
   France,1.2158,1.3533,1.5554,1.7252,1.9568,2.1193,2.3419
   French Guiana,0.0028,0.0032,0.0036,0.0038,0.0039,0.0045,0.0046
   French Polynesia,0.0031,0.0037,0.0043,0.0027,0.0016,0.002,0.0022
   Gabon,0.0153,0.0166,0.018,0.0414,0.0369,0.0431,0.0484
"   Gambia, The",0.0363,0.0384,0.0454,0.0612,0.0774,0.097,0.1392
   Georgia,0.9194,0.9533,0.967,0.8855,0.8055,0.8289,0.8611
   Germany,2.9294,3.0454,3.2352,3.4429,3.6966,3.6303,3.8553
   Ghana,0.3712,0.4281,0.4959,0.6657,0.762,0.8923,1.0043
   Gibraltar,0.012,0.0101,0.0085,0.0096,0.0102,0.0119,0.0134
   Greece,1.0221,1.0042,0.9827,0.8676,0.7895,0.8201,1.0885
   Greenland,0.0095,0.0114,0.0134,0.0146,0.0154,0.0167,0.0179
   Grenada,0.0432,0.0541,0.0638,0.0646,0.0639,0.0691,0.0622
   Guadeloupe,0.0058,0.0067,0.0078,0.0089,0.0108,0.012,0.0125
   Guam,0.0014,0.0016,0.0028,0.0025,0.0022,0.0021,0.0022
   Guatemala,0.3482,0.4619,0.5828,0.7367,0.9249,1.1181,1.3684
   Guinea,0.3528,0.3659,0.377,0.4047,0.4559,0.4934,0.5508
   Guinea-Bissau,0.0554,0.0671,0.0777,0.0828,0.0915,0.0982,0.1118
   Guyana,0.2333,0.2953,0.3622,0.3926,0.4392,0.4813,0.4384
   Haiti,0.5247,0.6614,0.8022,0.9679,1.1232,1.467,1.7697
   Honduras,0.1564,0.2466,0.3421,0.4489,0.5875,0.7299,0.9851
   Hungary,0.3916,0.4041,0.421,0.4665,0.5112,0.6009,0.7144
   Iceland,0.0176,0.0214,0.0262,0.0287,0.0325,0.037,0.0433
   India,6.6194,7.1534,7.9281,9.5885,13.222,15.8857,17.8695
   Indonesia,1.6223,1.9372,2.4151,2.7813,3.416,4.0651,4.6014
"   Iran, Islamic Rep.",0.6312,0.7467,0.8312,0.8895,0.9857,1.1556,1.3251
   Iraq,0.6429,0.7526,0.8284,1.3406,2.5549,1.6756,2.078
   Ireland,0.9171,0.8635,0.8207,0.7699,0.7295,0.7366,0.7343
   Israel,0.2796,0.2904,0.3039,0.317,0.334,0.3313,0.3587
   Italy,3.351,3.2077,3.0675,2.6985,2.5592,2.6627,3.2588
   Jamaica,0.5885,0.7184,0.8579,0.9052,0.9898,1.0316,1.1189
   Japan,0.6048,0.6533,0.7089,0.7185,0.7568,0.7644,0.8088
   Jordan,0.3136,0.339,0.3683,0.4408,0.6021,0.7068,0.8149
   Kazakhstan,2.9716,3.2952,3.5545,3.7176,3.7975,3.8856,4.2039
   Kenya,0.2503,0.2776,0.3174,0.362,0.4426,0.4806,0.5353
   Kiribati,0.0041,0.0042,0.004,0.004,0.0036,0.0041,0.0051
   Kuwait,0.0816,0.097,0.1134,0.129,0.1778,0.195,0.2123
   Kyrgyzstan,0.5226,0.55,0.5663,0.6529,0.7265,0.7428,0.7744
   Lao PDR,0.483,0.5478,0.6493,0.897,1.1989,1.2882,1.2961
   Latvia,0.2151,0.229,0.2386,0.271,0.2782,0.3692,0.38
   Lebanon,0.5077,0.5315,0.5589,0.6089,0.6997,0.7572,0.8568
   Lesotho,0.1913,0.1366,0.1206,0.1591,0.2431,0.1915,0.2022
   Liberia,0.5169,0.5423,0.2484,0.3548,0.2191,0.2057,0.2336
   Libya,0.0762,0.0774,0.08,0.1002,0.1274,0.1525,0.1855
   Liechtenstein,0.0034,0.003,0.0027,0.0029,0.0036,0.0035,0.0037
   Lithuania,0.341,0.3424,0.3486,0.4124,0.5177,0.5563,0.6581
   Luxembourg,0.0361,0.0379,0.0398,0.0528,0.062,0.0694,0.0818
   Madagascar,0.0594,0.0673,0.0771,0.1488,0.1608,0.1759,0.1935
   Malawi,0.1434,0.1508,0.1862,0.222,0.2605,0.2975,0.3111
   Malaysia,0.5604,0.8612,1.2011,1.3793,1.5991,1.781,1.86
   Maldives,0.0022,0.0017,0.0012,0.0022,0.0035,0.0036,0.0037
   Mali,0.6474,0.8206,0.7729,0.8954,0.9948,1.2285,1.3035
   Malta,0.1107,0.1098,0.1049,0.1002,0.0993,0.0936,0.1028
   Marshall Islands,0.0014,0.0042,0.007,0.0067,0.0065,0.0076,0.0109
   Martinique,0.011,0.0125,0.014,0.0143,0.0146,0.0127,0.013
   Mauritania,0.1345,0.1517,0.1076,0.1031,0.1142,0.1146,0.1302
   Mauritius,0.1107,0.1141,0.119,0.1306,0.1482,0.1659,0.183
   Mayotte,0.0018,0.0039,0.0062,0.0065,0.0063,0.0065,0.0068
   Mexico,4.3954,6.9493,9.5629,10.8178,12.4152,11.9232,11.1857
   Micronesia (Fed. States of),0.0077,0.0121,0.0169,0.0183,0.0194,0.0206,0.0249
   Monaco,0.0045,0.0048,0.0051,0.0191,0.027,0.0293,0.0326
   Mongolia,0.0245,0.0277,0.0306,0.0424,0.0574,0.0655,0.0821
   Montenegro,0.0774,0.1446,0.1835,0.148,0.1488,0.134,0.133
   Montserrat,0.0072,0.0116,0.0161,0.0158,0.0174,0.0201,0.0246
   Morocco,1.7481,1.8839,2.077,2.4707,2.8607,2.9718,3.2622
   Mozambique,2.2224,0.8127,0.6444,0.663,0.7978,0.5969,0.6402
   Myanmar,0.6853,0.9114,1.2243,1.7366,2.4923,2.8425,3.7118
   Namibia,0.0161,0.0282,0.0493,0.0656,0.0996,0.0504,0.0478
   Nauru,0.0014,0.0015,0.0016,0.0019,0.0021,0.0023,0.0025
   Nepal,0.7481,0.856,0.9774,1.2896,1.7127,2.2702,2.5997
   Netherlands,0.7165,0.7269,0.7476,0.7906,0.8544,0.8671,0.9704
   New Caledonia,0.0041,0.0046,0.0049,0.0052,0.0054,0.0056,0.0058
   New Zealand,0.388,0.4169,0.4898,0.5555,0.6623,0.738,0.8062
   Nicaragua,0.4415,0.4377,0.5015,0.5555,0.6102,0.6556,0.7182
   Niger,0.1498,0.1771,0.2052,0.3041,0.3359,0.375,0.3997
   Nigeria,0.4468,0.5245,0.6101,0.8174,0.9969,1.3065,1.6705
   Niue,0.0059,0.0056,0.0057,0.0053,0.0053,0.0053,0.0052
   North Macedonia,0.4321,0.492,0.5321,0.4588,0.5262,0.5634,0.6939
   Northern Mariana Islands,0.0025,0.0026,0.0028,0.0027,0.0026,0.0026,0.0027
   Norway,0.1383,0.151,0.1638,0.1741,0.18,0.1856,0.1914
   Oman,0.0125,0.0138,0.0156,0.0188,0.0208,0.0228,0.0251
   Pakistan,3.3411,3.3402,3.4064,3.7778,4.7906,5.7982,6.3284
   Palau,0.003,0.0028,0.004,0.0038,0.0026,0.0026,0.0027
   Panama,0.1344,0.133,0.1369,0.1314,0.1398,0.1502,0.1395
   Papua New Guinea,0.0031,0.0041,0.0046,0.0045,0.0042,0.005,0.0048
   Paraguay,0.2977,0.3358,0.3747,0.5457,0.7658,0.8456,0.8965
   Peru,0.3132,0.5055,0.6941,0.969,1.2991,1.4102,1.5196
   Philippines,2.0125,2.482,3.0627,3.6845,4.6927,5.4982,6.0943
   Poland,1.6734,1.7758,2.0476,2.8847,3.7163,4.077,4.8251
   Portugal,1.8719,1.9209,1.9938,1.743,1.9274,1.9717,2.0814
   Puerto Rico,1.2002,1.4056,1.6001,1.64,1.7318,1.7158,1.8505
   Qatar,0.0122,0.0133,0.0147,0.0171,0.0207,0.0236,0.0257
Moldova,0.6257,0.62,0.6028,0.7155,0.8274,0.9298,1.1594
   Réunion,0.0031,0.0026,0.0024,0.0026,0.0027,0.0029,0.0031
   Romania,0.8119,0.9767,1.1388,2.1059,3.3634,3.4207,3.9871
   Russia,12.6533,11.588,10.6648,10.3029,10.1187,10.18,10.7567
   Rwanda,0.5477,2.0604,0.3182,0.2891,0.3342,0.5037,0.4925
   Saint Kitts and Nevis,0.0186,0.0247,0.0309,0.0333,0.0358,0.0402,0.0503
   Saint Lucia,0.022,0.0307,0.0396,0.0469,0.0503,0.0579,0.0712
   Saint Vincent and the Grenadines,0.037,0.0457,0.0535,0.0556,0.0554,0.0623,0.0555
   Samoa,0.0749,0.082,0.0945,0.0992,0.1048,0.1169,0.1357
   San Marino,0.0014,0.0025,0.0035,0.0029,0.0023,0.0037,0.0024
   Sao Tome and Principe,0.014,0.0193,0.0251,0.0299,0.0309,0.0352,0.0396
   Saudi Arabia,0.107,0.1309,0.1536,0.1787,0.2153,0.2829,0.2993
   Senegal,0.3702,0.3591,0.3946,0.4705,0.5475,0.5945,0.6938
   Serbia,0.7425,0.9141,1.1319,0.9606,0.936,0.8269,1.004
   Seychelles,0.0356,0.0278,0.0192,0.0235,0.0259,0.0275,0.0293
   Sierra Leone,0.0619,0.4578,0.5091,0.1519,0.1267,0.1393,0.1525
   Singapore,0.1564,0.1681,0.1929,0.2357,0.2824,0.3246,0.3485
   Sint Maarten,0.0007,0.0009,0.0012,0.0012,0.0033,0.0019,0.0022
   Slovakia,0.133,0.1916,0.2515,0.2718,0.2607,0.3474,0.4197
   Slovenia,0.0914,0.1086,0.1187,0.1194,0.1229,0.1365,0.1602
   Solomon Islands,0.0022,0.0025,0.0027,0.003,0.0034,0.0039,0.0043
   Somalia,0.8481,0.969,1.0061,1.061,1.5953,2.0085,2.0342
   South Africa,0.3081,0.386,0.5016,0.6018,0.7438,0.7866,0.9149
   South Sudan,0.5149,0.438,0.3426,0.2285,0.4026,1.0607,2.5759
   Spain,1.439,1.3624,1.2906,1.1145,1.0871,1.2693,1.4898
   Sri Lanka,0.8837,0.9235,0.9791,1.1516,1.4543,1.6563,1.96
West Bank and Gaza,1.8127,2.2746,2.7673,3.2581,3.5399,3.774,4.0228
   Sudan,0.5849,0.7754,0.8857,1.2776,1.2352,1.8426,2.1049
   Suriname,0.1779,0.1915,0.2112,0.2488,0.2587,0.2546,0.2732
   Sweden,0.2059,0.2257,0.2566,0.268,0.2919,0.3024,0.3276
   Switzerland,0.3256,0.3392,0.3704,0.5023,0.6244,0.6449,0.7136
   Syria,0.6203,0.6613,0.7071,0.8134,1.0573,6.4478,8.4572
   Tajikistan,0.5377,0.5554,0.5412,0.5862,0.5846,0.5851,0.5869
   Thailand,0.3069,0.4119,0.531,0.6317,0.7693,0.9217,1.087
   Timor-Leste,0.0113,0.0791,0.1483,0.095,0.035,0.0373,0.0396
   Togo,0.1938,0.3096,0.2672,0.4058,0.4172,0.4954,0.5454
   Tokelau,0.0017,0.0018,0.0021,0.0021,0.0022,0.0022,0.0021
   Tonga,0.0327,0.0382,0.0464,0.0483,0.0515,0.0592,0.0746
   Trinidad and Tobago,0.1974,0.2511,0.3078,0.3229,0.3505,0.3686,0.3305
   Tunisia,0.4655,0.4769,0.487,0.579,0.6157,0.7744,0.9023
   Turkey,2.5129,2.7717,2.8473,2.5773,2.7089,3.0735,3.4114
   Turkmenistan,0.26,0.2435,0.2244,0.2319,0.2346,0.2385,0.2426
   Turks and Caicos Islands,0.0023,0.0015,0.0007,0.0012,0.0022,0.0025,0.0027
   Tuvalu,0.0024,0.0027,0.0026,0.0029,0.003,0.0032,0.0037
   Uganda,0.3116,0.362,0.5178,0.5866,0.7318,0.7862,0.7814
   Ukraine,5.5455,5.6061,5.5965,5.5664,5.4299,5.7976,6.1391
 Tanzania,0.203,0.2292,0.2155,0.2349,0.2622,0.2941,0.3279
   Uruguay,0.2375,0.234,0.2356,0.299,0.3384,0.3532,0.3671
   Uzbekistan,1.428,1.5157,1.576,1.7302,1.8889,1.976,2.0278
   Vanuatu,0.0049,0.0056,0.0062,0.0073,0.0077,0.0068,0.0072
   Venezuela,0.1855,0.2419,0.3178,0.4371,0.5605,0.7091,5.4153
   Vietnam,1.5056,1.8423,2.1585,2.3762,2.6307,2.9095,3.392
   Wallis and Futuna Islands,0.0065,0.0069,0.0074,0.0074,0.0075,0.0112,0.0119
   Western Sahara,0.1682,0.1671,0.1661,0.1313,0.1702,0.1859,0.1949
   Yemen,0.4555,0.4862,0.5294,0.6289,0.8764,1.0952,1.3012
   Zambia,0.0852,0.1409,0.1602,0.1815,0.1828,0.1844,0.2007
   Zimbabwe,0.2044,0.288,0.352,0.5008,0.7546,1.1671,1.2433
  Hong Kong SAR,0.5491,0.6172,0.6859,0.7525,0.8621,0.9573,1.0078
  Melanesia,0.1045,0.1233,0.1504,0.177,0.2043,0.2298,0.256
  Micronesia,0.0215,0.0292,0.039,0.0399,0.039,0.042,0.051
  Polynesia,0.1466,0.1606,0.1858,0.1902,0.1986,0.2235,0.2583
 Macao SAR,0.0865,0.0901,0.0945,0.1082,0.1236,0.1333,0.1452
